"sentence	label	source"
"In our study, by perceiving the punishment executer to be human, we show that such a rule could emerge spontaneously because the rule benefits the punishment executers themselves.	3	ssc"
"The results also reveal that the average harvest behavior in the baseline game positively and significantly affects the harvest behavior in the second game, suggesting some persistence of behavior over the two games.	3	ssc"
"This result is consistent with a previous study which suggests that behaving dishonestly leads to the forgetting of rules [24].	3	ssc"
"When the group boundaries are fixed, as they are in our research, jointness of supply has little direct effect on the provision of the public good.	3	ssc"
"Thus, threats to a group generate increased solidarity (ee + ) within the threatened group, but also hostility (ee ? ) against an opponent [72][73][74][75].	3	ssc"
"The individual -group discontinuity effect entails that in mixed-motive situations, such as the Prisoner's Dilemma game (PDG), intergroup interactions are more competitive than inter-individual interactions.	2	ssc"
"The public-goods literature finds that as groups increase in size individuals become more hesitant to cooperate and less able to coordinate actions (Franzen, 1995;Knez & Camerer, 1994).	3	ssc"
"Through some mechanismperhaps biological (Trivers 1971) -cooperation on the part of one individual in a dilemma situation enhances the probability that others will cooperate later in that same situation or a similar one.	3	ssc"
"I felt proud of myself, because thanks to me my two friends talked, and solved their problem.	3	ssc"
"It was our expectation that news stories reporting events which were caused by human agents would temporarily influence a subject's beliefs about the surrounding social universe and hence affect his behavior toward and expectation of the presumed stranger with whom he was paired in the nonzero sum game.	2	ssc"
"Because you contributed ten (10) points, your kept income is zero (0) points and your total income = 0+7.2=7.2 points.	3	ssc"
"Results demonstrate that awareness tools providing information about highly cooperative group members encourage participants to trust one another and minimize the risk of being exploited.	3	ssc"
"The results of this study suggest that while it is true that people with an altruistic or cooperative orientation will participate more than those with an individualistic or competitive orientation, their participation is likely to be reduced if they observe other membersÕ defection behavior.	2	ssc"
"Relying on the same measure of trust, Knack and Keefer (1997) showed that an increase in the level of trust positively affects the annual growth rate of per capita income.	3	ssc"
"natives and the resulting payoffs may change in time) are interrelated in the sense that the changes in the reward structure and the sequence by which different conflicts are entered depend upon the way previous conflicts were resolved.	2	ssc"
"Nonetheless, we feel that it is worthwhile showing that the extra step of instrumenting for received messages does not affect our main conclusion: there is a causal relationship between receiving an explicit threat and cheating on collusive agreements.	3	ssc"
"However, self-deception could also vary as a function of the situation and may be a facultative mechanism.	2	ssc"
"When people perceive a relationship partner as highly agreeable, they feel more comfortable resolving conflicts (Jensen-Campbell et al., 2002) and are more inclined to solve conflicts through informal mechanisms (rather than including a third-party mediator; Morris, Leung, & Iyengar, 2004).	2	ssc"
"Certainly, strong social bonds make visualizations of others easier, providing a firmer impetus for volunteering.	3	ssc"
"Then, the higher is the contribution of the human player required to achieve the non-cooperative optimum, the lower is the expected proportion of ambiguity averse choices.	3	ssc"
"Studies using the PDG have shown that emotional states and individual differences related to emotional traits influence cooperation.	1	ssc"
"Punishment is generally lower when the target was the highest contributor in the group and this effect is stronger for actual than for requested punishment.	3	ssc"
"In this paper, we neither attribute behavioral differences between the 'elite' and the rest of society to endowment differences nor to self selection (a positive correlation between selfishness and endowment); rather we hypothesize in line with Cote et al. (2015) and Heap et al. (2016) that the inequality in the society itself makes elite members more selfish and less generous.	2	ssc"
"Hypothesis 2: The presence of a threshold constraining participants' activities will lead participants to be less holistic in their cognitive orientations than when a threshold is not present.	3	ssc"
"In 2001, the Court ruled in United States v. United Foods, Inc. the mushroom checkoff program unconstitutional because it was a stand-alone checkoff advertising program and not part of a broader set of economic regulations.	3	ssc"
"In these experiments, which allow subjects to punish non-cooperators at a cost to themselves, the moderate levels of contribution typically observed in early play often rise in subsequent rounds to near the maximal level rather than declining to insubstantial levels, as in the case where no punishment is permitted.	3	ssc"
"The results suggest that remembering an experience of rejection can trigger anger and ruminating on being rejected can trigger indirect aggression.	1	ssc"
"On a more general level, the present study generates new insights into the relation between social uncertainty and environmental uncertainty by showing that the way in which people deal with social uncertainty is affected by the uncertainty people may experience regarding environmental information (cf.	1	ssc"
"The presence of such an ''empowered"" leader increases contributions, however, contributions are lower if the leader role is rotated among the group members compared to a situation when the leader is a fixed player.	3	ssc"
"Subjects' reaction to punishment suggests that earnings feedback affects negatively their expectations about the contribution of their peers in the following period.	2	ssc"
"Specifically, when anticipated barriers lower the probability of successfully achieving one's interests, individuals should be more inclined to opt for the benefits of competitive actions.	2	ssc"
"The results of these groups show a crystal-clear picture: Participants overwhelmingly elected the best candidate in the absence of conflicts, but once competitive ''bribes'' were introduced, knowledge-sharing broke down, and the groups failed to pool information and to uncover the objectively best candidate, so an inferior candidate was elected in more than 80% of these elections.	3	ssc"
"This impression was reinforced by pair-wise comparisons indicating that participants who underwent the TÀ treatment on study day 1, and who showed relatively reduced number of cooperative responses, significantly increased their cooperative responses after the T + treatment on study day 2, while participants who underwent the T + treatment on day 1 showed similarly high levels of cooperation on day 2.	3	ssc"
"These simulation results thus lend support to our claim that the strength of ties between actors can contribute to the evolution of cooperation in dynamic networks.	2	ssc"
"The difference between the group-representative and group-all condition was interpreted as consistent with a prediction that intergroup contact can reduce competitiveness even when there is conflict and the absence of norms requiring cooperative behavior.	2	ssc"
"First, despite the asymmetric nature of the best-shot provision technology, heterogeneity can help overcome coordination problems by providing focal points as a coordination tool.	2	ssc"
"As for the issue of sanctions, we noted earlier that due to trust based in the system, sanctions can increase expectations of cooperation.	2	ssc"
"It might be speculated that even greater manipulation of partner characteristics (perhaps established via pre-experiment communication with a stooge-partner) would affect the game strategies themselves.	2	ssc"
"We find that conflict increases cooperation within groups, while decreasing cooperation between groups.	3	ssc"
"Therefore, if the attribution of intentions turns out to be behaviorally important, the ""consequentialism"" inherent in standard utility models is also in doubt.	3	ssc"
"We use an experiment with multiple threshold public goods to show how increasing the number of public goods vying for funding can decrease both total contributions across all goods and the probability that any public good receives enough donations to succeed.	3	ssc"
"In the context of the present experiment, the conjecture of ""indecision by indifference"" would imply that subjects that are quoted a monetary reward that is sufficiently close to their maximum willingness to pay would find the decision more difficult and therefore require more time for a decision.	2	ssc"
"The type of prisoner's dilemma game influenced the strength of the observed correlation between discounting and cooperation.	1	ssc"
"As such, people from different societies will tend to express different preferences and beliefs: one should be able to measure between-group variation.	2	ssc"
"If a game is to be played many times, consideration of the cooperative choice may increase, since players can attempt to influence their opponent's future behavior.	2	ssc"
"For the present purposes, we opted against counterbalancing, due to the demands that this would have placed on the number of different sequential arrangements, as well as a balanced distribution of young and old girls and boys.	3	ssc"
"The larger this bias, the stronger the effect of ignorance on norm compliance.	3	ssc"
"This forwards the interesting and paradoxical hypothesis that inducing the unpleasant feeling of guilt in a fellow group member may in itself be beneficial because it actually allows one to build a reputation of being a cooperator (cf.	2	ssc"
"Results show that tax publicity reduces both the number of evaders and the amount of tax evaded.	3	ssc"
"If a player died during a wave, the character would respawn during the next wave.	2	ssc"
"While less information leads to more equal contributions, subjects focus on group efficiency in case of full information.	3	ssc"
"The fothfun mechanism thus leads to less cooperation than in the baseline case with no punishment if the detrimental effect of retaliatory punishment is greater than the positive norm-enforcing effect of punishment.	2	ssc"
"Moreover, excluding incentives related to time preferences could result in an overestimation of investment levels in public goods with long-term benefits.	2	ssc"
"Importantly, we found that the results of the two studies depart primarily because of differences in cooperation rates in settings with a known end round.	3	ssc"
"However, on ratings of group performance, status and attitudinal similarity combined did lead to increased intergroup differentiation, again unaffected by goal relations.	3	ssc"
"This unpredicted interaction may have happened due to collectiveness created by the community title.	2	ssc"
"Considering the relatively smaller groups (4 and 10 persons), they find that size only matters when the return on the public good is low, in which case, contributions actually increase in large groups.	2	ssc"
"Thus, because an elected leader refl ects the choice of the group and its members, an elected leader will feel strong support from the followers who will bestow on the leader a high sense of social responsibility ( Julian, Hollander, & Regula, 1969;Kenney et al., 1996).	3	ssc"
"If so, a denomination's position on the church-sect continuum -which may also be represented by its theological position -may help to explain its members' giving patterns.	2	ssc"
"Ambiguity arises when a decision-maker finds it difficult or impossible to assign a subjective probability to an event.	1	ssc"
"More specifically, participants influenced by a charismatic leader (i.e., high in self-sacrifice) were found to contribute more money to a charity fund, and this pattern was mediated by perceptions of charisma.	3	ssc"
"The paying taxes label should then lead to contributions comparable to those participants who do not spontaneously associate the public goods game with teamwork.	3	ssc"
"However, people seem unwilling to use a commitment mechanism if doing so exposes them to being free ridden.	2	ssc"
"A second experiment demonstrates that when electoral delegation must be endogenously implemented, individuals voluntarily cede authority to an elected agent only when preplay communication is permitted.	2	ssc"
"d = .92. 3 Due to the modest sample size for examining moderately highly correlated predictors in regression, we examined correlations to determine the most likely predictors of interest for future research.	1	ssc"
"Consistent with our second hypothesis, which predicts that relationship duration mediates the impact of tie strength on cooperation, we find that both the main effect of tie value and its interaction with the number of tie swaps are diminished, relative to Model 2. The main effect decreases by 64% (from ?.069 to ?.025), and the interaction with the number of tie swaps decreases by 65% (from .029 to .01).	3	ssc"
"I do not conserve energy because it benefits others at a cost to myself.	3	ssc"
"As a random-pairings session continues, some of these first-round cooperators get discouraged, and shift to defecting in the first round.	3	ssc"
"This equilibrium arises because with more than one person contributing at least one contribution is wasted because that second person would be better off by not contributing.	2	ssc"
"Inversely, (2) when students have academic curricula with high levels of background knowledge related to the root causes of environmental problems and the related possible strategic options, the cooperative-competitive context does not matter.	3	ssc"
", because we did not expect impressions to play an important role as an antecedent of cooperative decision-making and cooperative behavior is rather the result of the direct influence of SVO (Heon individuals) or primes (Leon individuals), we did not expect a systematic relationship between cooperative behavior and impressions (Hypothesis 6).	1	ssc"
"Namely, at the end of a repeated public good contribution game, if a surprise announcement is made that the same group of subjects will play another repeated game, contributions initially jump back to a relatively high level and then decrease again over time.	2	ssc"
"Subjects who did not see the pool size drop tended to vote against the elimination of free access to the commons, whereas subjects who did see their pool size drop voted to relinquish free access.	2	ssc"
"If both firms opt for the low Nash equilibrium price, though, market-level profits and wages will be minimized.	3	ssc"
"There is some experimental evidence that groups are better off when punishment is delivered by a central agency than when group members sanction each other (O'GORMAN et al. 2009).	1	ssc"
"Contributions clearly increase in the leverage level of both institutions, irrespective of the treatment.	3	ssc"
"It has been hypothesized that social learning has played a pivotal role in making human societies cooperative, by favouring cooperation even when it is not favoured by genetical selection.	2	ssc"
"Because contributions exert a positive externality that is non-rival and non-excludable on anyone who cares about the provision of education material in the local school, we consider them a pure public good from the donor's perspective.	3	ssc"
"n their interpretation of the way affect functions to alter behavior, Rosenhan et al. comment: Negative affect by definition increases the psychological distance between self and other.	3	ssc"
"Thus, much like the real world, if harvesters mismanaged the resource during the early stages of the simulation, there was less available during the later stages.	3	ssc"
"As mentioned above, in condition II, participants had no risk of losing money, which eventually leads to greedy incentives for the participants.	3	ssc"
"The greater are others' contributions, the less is one rewarded, ceteris paribus -perhaps because there is little scope for either punishing or rewarding in groups in which all are contributing close to the maximum.	3	ssc"
"But since the payoff for mutual defection is smaller than the payoff for mutual cooperation (fwo) the dilemma arises on what to choose if having in mind also the welfare of the society and not just personal interests.	2	ssc"
"This interpretation suggests that if the factors that weaken the case for the dominant or competitive choice were eliminated in the repeated-play PD, the prescriptive behavior would be obtained.	2	ssc"
"A possible transformation of material payoffs into an internal subjective game through the use of information about themselves, their group members, and the incentives of the repeated game may induce cooperative behaviour as a rational strategy in a collective-action setting.	2	ssc"
"Thus, with the reputation mechanism, there is a clear increase in the level of cooperation, which increases with experience.	3	ssc"
"In both the minimum-effort game and the public goods game, social interaction implies that subjects' choices of numbers or contributions, respectively, are affected by the choices of their neighbors.	1	ssc"
"Increased average contributions with excludability are caused by significantly fewer free riders and more full contributors; see the last column of Tables B2.1 and B2.2 in the Appendix.	3	ssc"
"II it was predicted that Ss would exploit an egotistical opponent to a greater extent when future interaction was anticipated than when it was not, but that when the opponent was seen to be self-effacing Lhe reverse would be true.	2	ssc"
"First, models of information signaling have shown that sequential giving can have beneficial effects for voluntary public good provision when the common value of the public good is uncertain.	2	ssc"
"However, we have to recognize that as the subjective probabilities go to zero, the economic impact of choices becomes weak.	3	ssc"
"Threat was introduced by providing one or both subjects with a salient punitive capability in the form of a gate which could be closed by one subject to prevent access to the one-lane road.	2	ssc"
" Sullivan & Lyle questioned the effect of player-player anonymity, emphasizing that the imperfectness of the anonymity might have influenced play.	2	ssc"
"Further, because direct reciprocity was not possible in our experiments, sharing arrangements were not self-enforcing.	3	ssc"
"As to the control variables, the number of members is significant and negative, indicating that groups with more members are less likely to be in the zero delinquency category.	3	ssc"
"For cooperators, focused contrasts indicated that negative moods produced more cooperation (less competition) than either positive or control moods, ts( 77 In short, Study 2 provides further support for our ideas by assessing goals as they ""naturally"" occur, overcoming any potential limitations on varying goals via instructions.	3	ssc"
"As is argued in the literature, the effects of these punishments are clear: cooperation is established and maintained Sefton, Shupp & Walker (2002).	3	ssc"
"We used this proportional measure of punishment rather than the raw amounts that participants spent for punishing each trader because the total amount that they spent for punishment varied among participants.	3	ssc"
"We show that these rules induce behavior that has pro-social consequences even in cases where there are strong conflicts of interests among group members and where interactions with free information exchange fail.	3	ssc"
"That is, when there is no noise, there is an increase in cooperation over successive interactions (at least in the context of TFT and TFT ? 1 strategies).	3	ssc"
"Sequential contributions decrease to the predicted equilibrium level and fall below the greater-than-expected contributions in the simultaneous game.	3	ssc"
"But you should also be careful not to ask for too much, because if at the end of the study everyone's requests add up to more than the $1,000 that is in the pool, then nobody, including yourself, will receive anything.	2	ssc"
"Identifying the strategy employed by players engaged in an IPD could also have wider implications for understanding the determinants of social conflicts in general, and help to design effective methods for ameliorating these problems.	1	ssc"
"Because of the partner design, this yields 18 independent observations for each treatment.	3	ssc"
"The original MGE had a strong effect because it involved allocation of tangible rewards; this implies that mere categorization produces discriminative behavior.	3	ssc"
"In particular, participating in a low-payment choice before making a high-payment choice magnifies the scale of the utility received/payoff from the subsequent task.	3	ssc"
"Although a principally exploitative relationship between owners and drivers does not necessarily improve intergroup relations, familiarity with intergroup economic ties may explain the lack of ethnic bias in the laboratory game.	2	ssc"
"Participants cooperated more when OP received higher rewards.	3	ssc"
"The point we try to make is that trust is relatively less important in the AG compared to the PG because the removal of the temptation to free ride in the former strengthens incentives to cooperate.	3	ssc"
"When such conditions exist, there is an intraclass correlation (ICC), and the assumption of independence of observations for regular regression is violated (Hox, 1998;Kreft & De Leeuw, 1998;Raudenbush & Bryk, 2002).	2	ssc"
"We find that third parties punished more frequently, severely and less antisocially, resulting in a higher contribution level than that driven by second-party punishment.	3	ssc"
"Result 3. The threat of inter-period feuds in LF reduces the frequency of altruistic punishment relative to the Baseline treatment.	3	ssc"
"We consider nondivisibility to be the more important factor in determining individual members' willingness to contribute to the provision of the public good, because it directly affects the value of the good to the individual.	3	ssc"
"The 'degree of imperfection' of this information clearly increases with the size of the group, because it becomes increasingly difficult to decompose the responses of other subjects into their reactions to the simultaneous changes in the contributions of their counterparts.	2	ssc"
"The increase in average contributions for the US region in RN (29.8) relative to ON (26.7) is due to the fact that, in ON, 64% of American participants opted for the principles of future polluter-pays and equal percentage reduction of current  emissions, both of which are synonymous with the smallest public good contribution; conversely, in RN, 62% of Chinese participants selected the principles of equal per capita entitlement to emissions and historical polluter-pays, the equity principles that denote the largest contributions for the US region.	3	ssc"
"Our findings also showed that participants' scores on a Prosocial value domain derived from Rokeach's terminal values were indicative of their cooperation preferences in the PGGs.	1	ssc"
"It may well be that if a group fails in establishing the public good, a self-sacrificing leader may be evaluated as poor since his or her efforts did not prevent the group from failing.	2	ssc"
"Because we conjectured that the opportunity for punishing would have a larger impact if subjects could learn about the behaviour of other group members, we repeated the basic public goods gameÐwith and without punishment opportunity, depending on the treatmentÐfor six periods.	2	ssc"
"Consequently, emotional responses from past exchanges influences the behavior of actors in the future.	3	ssc"
"Our studies suggest that sometimes coordination can be easily promoted by simply pointing out to people that certain information is available to all people involved.	2	ssc"
"Tooby & Cosmides (1996) propose that the establishment of stable and friendly relationships between group members favoured the exchange of help when needed and thus reduced the risks of the situation described by the banker's paradox.	3	ssc"
"It is possible that people's ability to estimate the equal choice may decrease as the number of others with whom they are sharing a nonpartitioned resource increases.	2	ssc"
"Lastly, because greedy people are never satisfied with their current state of affairs, it is likely that this affects their wellbeing in a negative way.	1	ssc"
"The consequence of these two evolutionary forces is that in equilibrium strong reciprocators and purely selfish humans coexist.	1	ssc"
"We find that contributions are 56.6% higher when group composition is different across both public goods dilemmas as compared to when composition is the same across the two public goods dilemmas (M 1 = 17.7,	3	ssc"
"In the case of defaults, an endowment effect may be at work: people may perceive the default option as something they possess and, thus, place more value on it.	2	ssc"
"Thus, if the default effect is partly explained by information conveyance, we expect to find it less pronounced when the default contribution can be a randomly drawn number over the support of choices in the game.	2	ssc"
"If one (or more) of the players is ""competitively oriented,"" he continues to exploit the other player or players until they must respond with self-protective noncooperation as well.	2	ssc"
"Our results show that emotion-regulation knowledge is itself neither positive nor negative, but can facilitate the objectives of individuals whose interests are in doing harm as well as those interested in benefiting the greater good.	2	ssc"
"First, the task of learning and familiarization was harder, since the first choice of rules occurred before subjects had any experience interacting in a VCM with or without punishment.	1	ssc"
"Thus, representatives successfully advanced the interests of their constituencies when bargaining with persons who did not have constituencies of their own.	3	ssc"
"One possible reason for the difference between these two studies is that learning effects are more likely to overwhelm the effects of pair IQ in longer games; this may be related to the finding that worker IQ is a stronger predictor of performance in the early months on a new job while IQ's predictive power for worker performance weakens after years spent in the same job (Hunt 1995).	1	ssc"
"If imperfect information reduces the incentive to match others' contributions, both the matching rates of actors with relatively high marginal benefit functions and those with relatively low marginal benefit functions will tend to fall.	1	ssc"
"Potlatches and other excessive public charitable displays suddenly begin to make sense when they are viewed as selfpresentation strategies (default, 1992).	1	ssc"
"The inclusion of asynchrony allowed a player to act independently of his opponent; this provided an opportunity to double-cross him.	3	ssc"
"The second insight is that the inefficiency observed in heterogeneous groups is not only due to the inefficiently low levels of contribution, but also due to a relative underuse of rewards.	3	ssc"
"Since the motorization of fishing boats in the early 1930s, competition among fishing units for access to the shiroebi stock has become a chronic problem.	3	ssc"
"We predicted that in absence of a sanctioning system, people would show little support for a sanctioning system unless there is collective inefficiency, and that in presence of a sanctioning system, people would support the sanctioning system, irre-spective of the information people have concerning collective (in)efficiency.	2	ssc"
"If industries can relocate easily, then the level of pollution would depend on the country with the weakest environmental regulation.	3	ssc"
"It serves people's short-term self interest not to contribute to the establishment of an authority, but if none or only few group members cooperate there will be no authority in place to monitor the good, and therefore the good may fail to be provided.	2	ssc"
"More interesting, however, is that the Sanction × Options interaction effect showed that the sanction increased the collective outcomes only in the two options condition.	3	ssc"
"As Axelrod (1984) has noted, when discount rates increase the probability that a defecting strategy is optimal also increases.	3	ssc"
"Result 7: Take framing weakly reduces cooperation for men and weakly increase cooperation for women.	3	ssc"
"As one individual increases his or her effort, the personal payoff increases regardless of other individuals' actions (the left panel); however, as the aggregate effort of the other individuals increases, the payoff for that particular individual decreases (the right panel), more clearly demonstrating the negative externality.	3	ssc"
"In many social-game protocols, ranging from gift-exchange over ultimatum bargaining to public-good situations, human behaviour differs substantially from the Nash-equilibrium that results if we assume that players care only about their own monetary payoff.	2	ssc"
"These results suggest that the shared outcomes involved in cooperation did increase cohesiveness.	2	ssc"
"In two behavioral experiments, we offer individuals the latter possibility: Participants can work together to increase the total size of the pie and hence increase the size of their own slice.	3	ssc"
"The alternative model predicts the following predictions: P 1 : When there is no tax imposed, individual contributions will exceed 5. P 2 : When a tax of 3 is imposed, total individual contributions will exceed the individual contributions made when there is no tax imposed.	2	ssc"
"Bargainers with a significant threat tend to threaten and fine more often.	1	ssc"
"However, previous research showed that SVO, measured a substantial amount of time in advance, still affected behavior in the predicted ways (e.g., mcclintock & Allison, 1989).	3	ssc"
"The discrepant levels of attention paid to music in relation to consumer behavior and employee or organizational behavior are most clear when considering retail workspaces because (i) customers and employees cohabit the locations and (ii) it is reasonable to expect that music that is selected to influence the behaviors of customers would have similar influences on employees.	1	ssc"
""" 5 contexts lead actors to rely more on contributions to the group than competitive contexts, while competitive contexts lead actors to rely more on punishment of others than cooperative contexts.	2	ssc"
"Furthermore, the highest contributor in the group earned more prestige when the good was unattainable, suggesting an association between status and conspicuous cooperation (Hypothesis 3).	1	ssc"
"As a consequence, confounding effects such as reputation building through punishment or strategic reasons for punishing to increase cooperation in repeated interactions, as shown by Gächter et al. (2004) and Gächter and Herrmann (2009), can be excluded and a clear theoretical benchmark for standard preferences can be derived.	1	ssc"
"We argue and show that an important reason why people apply the do-no-harm principle to their use of sanctions is because they feel personally responsible for the harm done.	3	ssc"
"The institutional mechanism implemented in Study 1 is richer than an ultimatum game and simultaneously changes the incentive structure depending on the priors of the participants: if players believe that others will contribute at levels just above the lowest current contributor, and believe that others believe this, pure self-interest will generate the observed ratchet pattern.	2	ssc"
"Fear is associated with the goal to avoid risk, which in a social dilemma induces a tendency to avoid exploitation or loss.	1	ssc"
"This implies that conflict increases parochialism both by increasing preferences for in-group cooperation, and by decreasing preferences for out-group cooperation.	3	ssc"
"The mutuality of the response improves the prognosis for the couple's staying together.	3	ssc"
"My understanding of people's ideas about cooperation in Kamchatka was significantly enhanced by the opportunity to refer back to the game when explaining my thoughts and posing my questions.	1	ssc"
"The employers appeal to the strong reciprocity of the workers by being more generous as  the desired effort level becomes more costly to the worker.	3	ssc"
"We also find that the level of contribution under different default options is sensitive to the type of the public goods game employed.	2	ssc"
"When communication within teams is possible communication is an efficient means to coordinate team members' efforts at higher levels and to reduce the free-rider problem within teams.	3	ssc"
"Specifically, highly extrinsic primary participants tended to select other materialists as peers to participate in the study.	1	ssc"
"A number of studies have argued that survey-based measures have to be treated with caution in the CDD context and that this may explain the mixed evidence on CDD and social capital in the first place (Avdeenko & Gilligan, 2015;Ban et al., 2015;Mansuri & Rao, 2013;Wong, 2012).	2	ssc"
"Mason et al. (1991, p. 228) comment that ``[k]nowing the gender of a rival may have crystallized gender motivated dierences in behavior causing such dierences to persist and apparently become more pronounced over time.	2	ssc"
"Both the Outcome for Others and the Equality of Outcomes depend on others, meaning when the total group is greater than two people, these others' properties are combinations of multiple people's behaviors, not just a single individual's behavior.	2	ssc"
"The binary-choice is used because there is no a priori way of determining whether a second decider will interpret a given level of cooperation by the first decider in the continuous cooperation/sequential version as 'cooperative' or 'non-cooperative'.	1	ssc"
"Replications with people from other age groups or nations would help to establish the generalizability of these findings, which is important to do because researchers have suggested that apologies and offers of compensation are species-typical ways of promoting forgiveness (e.g., fcfullough, 2008;fcfullough, Kurzban, et al., 2010).	1	ssc"
"The conventional result of increasing reciprocity with increasing sender's trust is clearly the case for strongly pro-social individuals.	3	ssc"
"To summarize, discrimination occurs as an outcome of intergroup bias where the discrimination is not a result of hostility toward out-group members, but is rather a result of in-group loving.	3	ssc"
"interactions reduce the degree of control in the experiment because it is difficult to assess whether appearances, show banter, and the like influence observed decisions.	3	ssc"
"Alternately (or additionally) she may value the public good or charity itself and, believing that contribution levels are strategic complements, give more to influence others to give more.	2	ssc"
"More intelligent subjects were significantly more likely to vote for whichever of FS or IS was associated with higher earnings ex post.	1	ssc"
"There are indications that the unequal range of pay-off accelerated the observed trends rather than reversing them.	2	ssc"
"Selfish players may choose to reveal private information through costless and non-binding communication or cheap talk; such revelation can lead to efficiency gains, as shown by Crawford and Sobel (1982).	2	ssc"
"It relies on the idea that people react to unfair intentions by sacrificing a part of their payoffs in order to punish others, even when there are no reputation gains from doing so (Rabin 1993;Falk and Fischbacher 2006).	3	ssc"
"Because the approach of pausing first-order collective action for multiple punishment stages has been explored extensively by others and because situations that it may fail to mirror well strike us as common and important, we study higher-order punishment in a repeated play dilemma game with the constraint that the number of punishment stages not exceed the number of contribution stages by more than a factor of two.	2	ssc"
"Outside the laboratory, partner preferences and time constraints typically inhibit equal rates of interaction between group members, the result being that people (and other social animals) interact with some individuals more than others.	1	ssc"
"The absence of an end-game effect or of a negative time trend in these groups is remarkable and offers evidence that unobservable sanctions can have a long-term impact on cooperation.	2	ssc"
"The extent of individual cooperation tends to be higher among high-identifying individuals, either because they place greater value in the good itself (De Cremer & Van Vugt, in press;Kerr, 1996), because they have greater trust in the cooperative intentions of fellow group members (Brann & Foddy, 1987;Brewer & Kramer, 1986;Kramer & Brewer, 1984), or both.	1	ssc"
"This is because probability theory will predict that individuals will not allocate higher weight to any particular numbers, because the probability of winning should be the same for all numbers.	3	ssc"
"This idea can be linked to the one in Kreps, Milgrom, Roberts, and Wilson (1982): if fully rational and egoistic individuals have the faintest suspicion they might be interacting with tit-fortat players, there is room for cooperative equilibria.	2	ssc"
"Instead, Andreoni (1995), among others, has suggested that this decrease might be due to ""frustrated attempts at kindness.""	2	ssc"
"However, if each individual attempts to maximize his or her self-interest, the collective outcome will be less desirable than if each individual attempts to maximize the collective interest (Dawes, 1980).	3	ssc"
"Working together on a team-building task enhanced cooperative tendencies even with little or no financial incentive for performing the task.	3	ssc"
"For if such a 'high-trust' society were characterized by the existence of many separate groups producing public goods with negative externalities for each other, the overall result would likely be worse than would have been the case had trust been low.	2	ssc"
"Our result suggests that the selfish prediction is prone to deviations when the equilibrium results in unequal distributions of payoffs, and there are alternative outcomes that increase both equality and the payoff of the disadvantaged party.	2	ssc"
"However, we believe that excludability can (and does) provide an effective, low-cost way to induce cooperation, increase efficiency and support team production in social dilemmas and related situations.	2	ssc"
"When people do not know the victims and have little if any positive regard for them, their donation behavior may be influenced primarily by criteria that they apply independently of their feelings of sympathy or empathy.	2	ssc"
"As actors participate in the production of public goods, processes of social comparison may affect the decisions about the individual contributions as well as the endogenously changing structure of an underlying social network.	2	ssc"
"Since the same presentation of information was used in her experiment, significant positive effects of trust on group size was observed even in the experimental situation where only this minimal information about others' behavior was presented.	3	ssc"
"We predicted that in absence of a sanctioning system, people would show little support for a sanctioning system unless there is collective inefficiency, and that in presence of a sanctioning system, people would support the sanctioning system, irre-spective of the information people have concerning collective (in)efficiency.	2	ssc"
"If industries can relocate easily, then the level of pollution would depend on the country with the weakest environmental regulation.	2	ssc"
"It serves people's short-term self interest not to contribute to the establishment of an authority, but if none or only few group members cooperate there will be no authority in place to monitor the good, and therefore the good may fail to be provided.	2	ssc"
"More interesting, however, is that the Sanction × Options interaction effect showed that the sanction increased the collective outcomes only in the two options condition.	3	ssc"
"As Axelrod (1984) has noted, when discount rates increase the probability that a defecting strategy is optimal also increases.	3	ssc"
"Result 7: Take framing weakly reduces cooperation for men and weakly increase cooperation for women.	3	ssc"
"As one individual increases his or her effort, the personal payoff increases regardless of other individuals' actions (the left panel); however, as the aggregate effort of the other individuals increases, the payoff for that particular individual decreases (the right panel), more clearly demonstrating the negative externality.	3	ssc"
"In many social-game protocols, ranging from gift-exchange over ultimatum bargaining to public-good situations, human behaviour differs substantially from the Nash-equilibrium that results if we assume that players care only about their own monetary payoff.	3	ssc"
"These results suggest that the shared outcomes involved in cooperation did increase cohesiveness.	3	ssc"
"In two behavioral experiments, we offer individuals the latter possibility: Participants can work together to increase the total size of the pie and hence increase the size of their own slice.	2	ssc"
"The alternative model predicts the following predictions: P 1 : When there is no tax imposed, individual contributions will exceed 5. P 2 : When a tax of 3 is imposed, total individual contributions will exceed the individual contributions made when there is no tax imposed.	3	ssc"
"Bargainers with a significant threat tend to threaten and fine more often.	2	ssc"
"However, previous research showed that SVO, measured a substantial amount of time in advance, still affected behavior in the predicted ways (e.g., mcclintock & Allison, 1989).	3	ssc"
"The discrepant levels of attention paid to music in relation to consumer behavior and employee or organizational behavior are most clear when considering retail workspaces because (i) customers and employees cohabit the locations and (ii) it is reasonable to expect that music that is selected to influence the behaviors of customers would have similar influences on employees.	2	ssc"
""" 5 contexts lead actors to rely more on contributions to the group than competitive contexts, while competitive contexts lead actors to rely more on punishment of others than cooperative contexts.	3	ssc"
"Furthermore, the highest contributor in the group earned more prestige when the good was unattainable, suggesting an association between status and conspicuous cooperation (Hypothesis 3).	1	ssc"
