sentence,label
We did not see variation in the risk of urinary tract infection with the visibility of the urethral meatus among uncircumcised boys.,1
Higher adherence to a Mediterranean diet is associated with a lower risk for hip fractures.,1
"d-ROMs levels were associated with both MI (odds ratio (OR), 1.21 [95% confidence interval (CI) 1.05–1.40] for 100 Carr units increase) and stroke (OR, 1.17 [95% CI 1.01–1.35] for 100 Carr units increase).",2
"In a nationwide viral hepatitis cohort, lipophilic statins were associated with significantly reduced HCC incidence and mortality.",3
"Use of Doppler increased from 11% to 65% of eligible operations, with a 3.7 day reduction in total length of stay.",3
"Although only weak
correlations were found with the degree of AS, circulating dp-ucMGP was associated with cardiac
function and long-term mortality in multivariate
analysis.",0
"Severe nutritional deprivation during prenatal and postnatal periods has a
lasting impact on cognitive performance in Chinese adults in their early 50s.",3
"Integrated care management according to the ABC pathway  resulted in a significantly lower rate of CVEs, suggesting a clear benefit of a  holistic approach to optimize the management of patients with AF.",3
"Our findings suggest angiotensin II receptor blockers, Î²-adrenergic  receptor blockers, and calcium channel blockers might be associated with improved  survival outcomes of gastrointestinal cancers.",0
"Sexual minority status was protective
against unhealthy weight among White, African American, Asian, and Latino
men compared with heterosexual counterparts of the same race/ethnicity.",3
"These patients waited less
time than other patients to see a physician
under crowded conditions and only slightly
longer under noncrowded conditions.",2
"Compared to the control group, Ascaris infection prevalence was lower in the
water treatment arm (prevalence ratio [PR]: 0.82 [95% CI 0.67, 1.00], p = 0.056), the WSH
arm (PR: 0.78 [95% CI 0.63, 0.96], p = 0.021), and the WSHN arm (PR: 0.78 [95% CI 0.64,
0.96], p = 0.017).",2
"LS members who were residentially mobile between urban and rural areas were relatively healthier than long-term urban residents, with better mortality outcomes among rural in-migrants.",1
"Changes in mortality trends suggest that reporting in Hospital Compare was associated with a slowing, rather than an improvement, in the ongoing decline in mortality among Medicare patients.",1
Differential rates were observed for CRC screening and screening recommendations among racial/ethnic groups,1
Health behaviours were strong predictors of mortality,0
"After adjusting for a wide range of socio-demographic factors, subjects who had
been given large transfers were much more likely to report very good health than subjects who had not been given anything",1
"Among patients in the UK General Practice Research Database, the use
of oral bisphosphonates was not significantly associated with incident esophageal or
gastric cancer.",0
"The initiation of tramadol therapy is associated with an
increased risk of hypoglycemia requiring hospitalization.",1
"Nonsignificant, sex-based differences in response were found during the 48 weeks
of the GRACE study; however, these differences were probably due to higher discontinuation
rates in women, suggesting that additional efforts are needed to retain women in clinical trials.",0
"Among women with GD identified by contemporary criteria
compared with those without it, GD was significantly associated with a higher maternal risk
for a disorder of glucose metabolism during long-term follow-up after pregnancy. Among
children of mothers with GD vs those without it, the difference in childhood overweight or
obesity defined by body mass index cutoffs was not statistically significant; however,
additional measures of childhood adiposity may be relevant in interpreting the study findings.",1
"Results indicate that the treatment benefits of AOT are enhanced with the increased use of mental healthcare services, suggesting that the positive effect of AOT on psychotic symptoms is related to the availability of mental healthcare service use.",2
This study shows that endoglin is an indicator of hypertension- and diabetes-associated vascular pathologies as endothelial dysfunction and cardiovascular damage.,1
"Overall, SSRI use was not associated with an increased risk of breast cancer",2
"A diet characterized by regular consumption of all five food groups and by greater variety of
dairy, fruit, and vegetable subtypes, appears important for a reduced risk of diabetes.",1
"We find that cross-border ties reported at baseline were significantly associated with depression in subsequent study waves, even after controlling for the presence of depression at baseline, albeit with substantial differences by gender and nativity",1
"Among persons enrolled in the World Trade Center Health Registry,
there was an excess risk for prostate cancer, thyroid cancer, and myeloma in 2007-
2008 compared with that for New York State residents; however, these findings were
based on a small number of events and multiple comparisons.",1
Patients with MI had a higher short- and long-term incidence rate of cancer compared to subjects without MI.,1
"Morphine was not
superior to ibuprofen, and both drugs
decreased pain with no apparent difference
in efficacy.",0
Imposition of the MOC requirement was not associated with a  difference in the increase in ACSHs but was associated with a small reduction in the  growth differences of costs for a cohort of Medicare beneficiaries.,1
"Among people aged 85 years and older, elevated erythropoietin levels were associated with an increased risk of death, independent of hemoglobin levels.",2
"Frequent SIF use was associated with a lower risk of death, independent of relevant confounders.",1
Social networking communities are acceptable and effective tools to increase home-based HIV testing among at-risk populations,1
"Increased access to deep tube wells may provide dual benefits to vulnerable populations in Matlab, Bangladesh, by reducing the risk of childhood diarrheal disease and decreasing exposure to naturally occurring arsenic in groundwater.",2
Our findings suggest that BMI is an important clinical factor in assessing and managing warfarin therapy.,0
"In hypertensive patients, long-term receipt of ACE inhibitors, ARBs, or β-blockers reduces the risk for atrial fibrillation compared with receipt of calcium-channel blockers.",2
"In the US Medicare population from 2000 to 2012, short-term exposures to PM2.5 and warm-season ozone were significantly associated with increased risk of mortality.",2
"We conclude that some perinatal characteristics may play causal, disease-specific roles in the development of eating disorders, including via perinatal variation within the normal range.",3
The findings indicate that the unique experience of  twinning does not lead to adverse long-term health outcomes.,1
"Exposure to household disinfectants was associated with higher BMI at age 3, mediated by gut microbial composition at age 3-4 months.",3
A community health worker-led intervention lowered cardiovascular disease risk among vulnerable Latinos.,1
Earlier and surgical menopause were associated with higher CHD risk.,0
"Among a cohort of participants with severe obesity undergoing bariatric surgery, a large percentage experienced improvement, compared with baseline, in pain, physical function, and walk time over 3 years, but the percentage with improvement in pain and physical function decreased between year 1 and year 3.",1
"Low 25(OH)vitamin D levels are associated with the presence of NAFLD independently from
metabolic syndrome, diabetes and insulin-resistance profile",1
"Cholesterol efflux capacity, a new biomarker that characterizes a key step in reverse cholesterol transport, was inversely associated with the incidence of cardiovascular events
in a population-based cohort.",1
"Cigarette smoke results in acute endothelial damage, vascular and systemic inflammation,
and indicators of the cellular aging processes in otherwise healthy nonsmokers. Pretreatment with red wine was preventive. The findings underscore the magnitude of acute damage exerted by cigarette smoking in “occasional lifestyle smokers” and demonstrate the potential of red wine as a protective strategy to avert markers of vascular injury",1
"In patients who presented with an acute coronary syndrome and underwent percutaneous coronary intervention, major adverse cardiovascular events occurring during follow-up were equally attributable to recurrence at the site of culprit lesions and to non culprit lesions. Although non culprit lesions that were responsible for unanticipated events were frequently angiographically mild, most were thin-cap fibro-atheromas or were characterized by a large plaque burden, a small luminal area, or some combination of these characteristics, as determined by gray-scale and radiofrequency intravascular ultrasonography",0
"Scan statistics showed that areas with
a high population density or adequate water supply did not experience severe outbreaks.",0
"When high sensitivity cardiac troponin testing is performed widely or without previous clinical assessment, elevated troponin concentrations are common and predominantly reflect myocardial injury rather than myocardial infarction.",2
"Findings point to mental health disparities among some, but not all, sexual minority groups",0
"Among students at 4 campuses of a US medical school, clerkship order
was significantly associated with performance on clerkship subject examinations and
overall grades but not with clerkship clinical performance or USMLE Step 2 scores",1
"However, when compared
with the Framingham algorithm, adding job strain did not improve
the model’s predictive performance",2
"Policies restricting abortion provision may result in more women being unable to terminate
unwanted pregnancies, potentially keeping them in contact with violent partners, and putting women and their children at risk.",2
"Infant mortality rate decline was greater in Medicaid expansion states, with
greater declines among African American infants",1
There was no association between the FH definitions and noncoronary cardiovascular events.,1
Warfarin users who are prescribed high-risk antibiotics are at higher risk for serious bleeding events.,3
"We found that in this cohort of mostly married and White women, who completed their pregnancies before the le- galization of abortion, unwanted pregnancies were strongly associated with poorer mental health outcomes in later life.",2
"Composite neurological  symptom scores increased in the 3 days before immunoadsorption to 3·0 (SD 1·1,  p=0·038), and improved to 1·0 (1·2, p=0·0006) 3 days after immunoadsorption",2
"Among people with metabolic syndrome, physical activity was associated with reduced mortality from all causes and from cardiovascular causes.",2
"Effective HAART is associated with lower incidence of HBV infection; however, even in the HAART era, incidence of HBV infection remains high among MSM.",1
Preoperative urinary DKK3 is an independent predictor for postoperative AKI and for subsequent loss of kidney function.,2
"High-dose oral multivitamins and multiminerals did not produce a statistically significant reduction in cardiovascular events in post-myocardial infarction patients on standard medications, but this conclusion has to be tempered by the non-compliance rate.",3
"Change from a T-score–based fracture risk reporting system to a system based on absolute 10-year fracture risk was associated with appropriate, guideline-based changes in prescription of osteoporosis medications.",2
"Compared with  local anaesthesia, BPB significantly improved 3 month primary patency rates for  arteriovenous fistulae",3
"Compared with non-Hispanic whites (whites), odds of completing CRC screening were lower for non-Hispanic blacks (blacks) in healthcare systems with high screening rates (AOR=0.86, 95% CI=0.84, 0.88) but similar between blacks and whites in systems with lower screening rates (AOR=1.01, 95% CI=0.93, 1.09).",1
Our findings indicate a causal role of ceruloplasmin in AF pathophysiology and suggest that ceruloplasmin might be a mediator in a specific inflammatory pathway that causally links inflammatory diseases and incidence of AF.,3
Our study suggests that active asthma and poor asthma control are associated with moderately increased risk of AMI,1
"In the fully adjusted model, those with an ACB of >3 had 59% relative risk of incident stroke {hazard ratio [HR] [95% confidence interval (CI) 1.59 [1.34–1.89]} and 86% relative risk of stroke mortality [1.86 (1.37–2.53)] compared with those in ACB 0 category.",1
Both interventions decreased pain scores with no difference in efficacy,3
"Our results show the importance of adequate iodine status during early gestation and emphasise the risk that iodine deficiency can pose to the developing infant, even in a country classified as only mildly iodine deficient.",3
"Findings point to mental health disparities among some, but not all, sexual minority groups",0
Results suggest that in-utero hypoandrogenicity could play a role in ASD etiology.,1
"Compared with participants with FGF23 levels in the lowest quartile, those in the highest quartile had a 36 % increased risk for cardiovascular events [hazard ratio: 1.36, 95 % confidence interval (CI): 1.02–1.82] after adjustment for established cardiovascular risk factors, patahyroid hormone and 25-hydroxyvitamin D3 levels, dietary calcium and phos- phorus intake, and kidney function.",3
"However, trial participants allocated to canakinumab who achieved hsCRP
concentrations less than 2 mg/L had a 25% reduction in major adverse cardiovascular events (multivariable adjusted
hazard ratio [HRadj]=0·75, 95% CI 0·66–0·85, p<0·0001), whereas no significant benefit was observed among those
with on-treatment hsCRP concentrations of 2 mg/L or above (HRadj=0·90, 0·79–1·02, p=0·11).",3
"Fetal growth characteristics track moderately throughout gestation, with stronger tracking coefficients present in later pregnancy. Tracking coefficients were not materially influenced by maternal socio-demographic and lifestyle characteristics. First, second and third trimester fetal growth characteristics were associated with the risk of adverse birth outcomes.",1
"Leader-led battlefi eld ethics training positively influenced soldiers’ understanding of how to interact with and treat non-combatants, and reduced reports of ethical misconduct.",2
"Among a community sample of women in urban Kenya with a history of GBV, a brief, lay administered behavioural intervention, compared with EUC, resulted in moderate reductions
in psychological distress at 3-month follow-up.",3
"The study supports a J-shaped association between alcohol and mortality in older adults,
which remains after adjustment for cancer risk. The results indicate that intakes below 1
drink per day were associated with the lowest risk of death.",1
"Compared with planned hospi- tal birth, planned home birth attended by midwives in a jurisdiction where home birth is well-integrated into the health care system was not associated with a difference in serious adverse neonatal outcomes but was associated with fewer intrapartum interventions.",2
"Following the intervention, there was an 82% and 40% decrease in orders by internists in the outpatient and inpatient settings, respectively",3
"After controlling for patient
demographic characteristics and clinical factors, patients who did not complete a scheduled
transition clinic appointment had nearly three times higher odds of readmission compared with
patients who completed a transition clinic appointment (Adjusted Odds Ratio 2.80, p = 0.004).
There was no significant difference in the likelihood of thirty-day readmission between patients
completing a transition clinic appointment and those who were scheduled with their primary care
physician.",1
"These findings suggest that current WHO-recommended ART regimens appear relatively safe in pregnancy, although more data are required to understand the aetiology of preterm delivery in HIV-infected women using ART",1
"More rapid completion of a 3-hour bundle of sepsis care and rapid administration of antibiotics, but not rapid completion of an initial bolus of intravenous fluids, were associated with lower risk-adjusted in-hospital mortality",0
"Adolescents and parents who lived in towns with five or more fast-food outlets were about 30% more likely to eat fast food compared to those in towns with no fast-food outlets, even after adjusting for individual, family, and town characteristics (RR=1.29, 95% CI= 1.10, 1.51; RR=1.32, 95% CI=1.07,1.62, respectively).",3
"In conclusion, these results suggest that chemerin signalling through ChemR23 in VSMCs protects against vascular calcification in CKD.",2
"In patients with HFPEF, use of β-blockers was associated with lower all-cause mortality but not with combined all-cause mortality or heart failure hospitalization.",0
Treatment with direct-acting antivirals is associated with reduced risk for mortality and hepatocellular carcinoma and should be considered in all patients with chronic HCV infection.,2
Long-term supplementation with  antioxidant vitamins and minerals had no beneficial effect on HRQoL in this trial.,2
PSA–TT was highly eff ective at prevention of serogroup A invasive meningococcal disease and carriage in Chad.,3
"In patients with impaired glucose tolerance at high risk for cardiovascular events, the prevalence of venous thromboembolism was rare but associated with worse long-term cardiovascular outcomes, including arterial events.",0
Use of these prescriptions may be associated with an increased risk of subsequent opioid use and abuse.,0
"Compared with the
general population with similar
characteristics, patients recovering from
sepsis had a markedly elevated risk of MI
or stroke in the first 4 weeks after
discharge from hospital.",1
"A healthy ND improves blood lipid profile
and insulin sensitivity and lowers blood pressure at
clinically relevant levels in hypercholesterolaemic
subjects.",3
"In conclusion, decreasing levels of apolipoproteins B and A1 were associated with increased risk of venous thrombosis.",2
Genetic mismatch of non-HLA haplotypes coding for transmembrane or secreted proteins is associated with an increased risk of functional graft loss independently of HLA incompatibility,2
"Assertive outreach showed no significant effect on
subsequent suicide attempt",3
"Living in a household with a prescription opioid user may
increase risk of prescription opioid use, which may reflect both increased access to these
products as well as shared risk factors, such as prescriber preference and prescription drug
monitoring.",2
"Compared to subjects without MetS components, the hazard ratio for CRC development in
patients with MetS was 1.22 (95% Confidence Interval [CI] 1.20–1.24) and this association was more prominent in men than in
women (HR 1.41 95% CI 1.37–1.44 vs. HR 1.23 95% CI 1.20–1.27, P for interaction \0.001).",1
"This study indicates the OSNAP intervention, including strategies to overcome
structural barriers and collaboration with key actors, can increase offerings of water during afterschool snack.",2
"Our findings suggest that living in neighborhoods where residents share the same
language may influence obesity-related behaviors (namely diet and physical activity) possibly through mechanisms involving social networks, support, and norms.",2
"Genetic variants that mimic the effect of ATP citrate lyase inhibitors and statins
appeared to lower plasma LDL cholesterol levels by the same mechanism of action
and were associated with similar effects on the risk of cardiovascular disease per
unit decrease in the LDL cholesterol level.",2
"In a chronically undernourished population, maternal repletion with vitamin A at
recommended dietary levels before, during, and after pregnancy improved lung function in offspring",3
"A higher FRAP score was associated
with a lower risk of type 2 diabetes among the total population (HR per SD FRAP 0.84, 95% CI 0.75; 0.95) and among
participants with prediabetes (HR 0.85, 95% CI 0.73; 0.99), but was not associated with risk of prediabetes",2
"Noninjection use of crystal methamphetamine predicted subsequent injection initiation, and crystal methamphetamine was the most commonly used drug at the time of first injection.",2
"Although participation was limited, MOVE! was associated with reduced CVD incidence in a nationwide healthcare setting.",1
have an elevated risk,3
"Compared with a statin
alone, the addition of alirocumab cost $308 000 (UI, $197 000 to
$678 000) per QALY.",3
osteoporotic fractures still have a significant impact on mortality,3
"Short (vs. long) education was
associated with 277 (95 % CI: 219, 336) additional cases of
CHD per 100,000 person-years at risk among women, and
461 (95 % CI: 368, 555) additional cases among men.",1
Longitudinal evidence of telomere length tracking from birth to adulthood shows inverse associations of residential traffic exposure in association with telomere length at birth as well as accelerated telomere shortening in the first two decades of life.,2
Autoimmune disorders are associated with a high risk of pulmonary embolism in the first year after hospital admission,1
A targeted telephone care-management program was successful in reducing medical costs and hospitalizations in this population-based study.,3
"Although participation was limited, MOVE! was associated with reduced CVD
incidence in a nationwide healthcare setting",2
"The detection of persistent leukemia-associated
mutations in at least 5%of bone marrow cells in day 30 remission samples was associated with a
significantly increased risk of relapse, and reduced overall survival. T",2
"This study found no evidence of an increase in risk of
presentation to hospital with epileptic seizures after vaccination with a
monovalent AS03 adjuvanted pandemic H1N1 influenza vaccine.",0
SMArT Work successfully reduced sitting time o,3
"Our findings suggest that both eGFR and
PTH are significantly associated with vitamin D
metabolism in men without known CKD.",2
"The best-performing nursing homes are sued only marginally less than the worst performing ones. Such weak discrimination may subvert the capacity of litigation
to provide incentives to deliver safer care.",1
"The PCERM systematically under-predicted ASCVD event risk among patients from
disadvantaged communities.",3
High risk of metabolic syndrome is transmitted from fathers and mothers  to sons and daughters.,2
"A micronutrient-fortified lipid-based supplement given in the latter half of infancy increased thymic
size, a key mediator of immune function.",3
Prepregnancy surgery is associated with the risk of neonatal abstinence syndrome in future pregnancies,1
"Early prenatal enrollment and micronutrient use during the first  trimester of pregnancy appeared to be of particular importance for prevention of  SPB, regardless of supplement group.",3
"Long term use of systemic hormone therapy might
be accompanied with an overall increased risk of
Alzheimer’s disease, which is not related to the type
of progestogen or the age at initiation of systemic
hormone therapy.",1
Good glycemic control could potentially modify the risk of TB among diabetic patients,1
Autoimmune disorders are associated with a high risk of pulmonary embolism in the first year after hospital admission,2
"We provide additional evidence of an association between AN exposure and lung cancer, as well as possible increased risk for death due to bladder cancer and pneumonitis.",0
"Adjustment using Cox proportional hazard models revealed no association between baseline alcohol consumption and incident
hypertension, except among European-American women in whom any current alcohol consumption was associated with lower risk of incident hypertension.",2
immunosuppressive maintenance therapy after transplantations seems to be sufficient to prevent de novo ERT inhibition in ERT-naıve patients,1
"Macrosomia was associated with a generally protective effect against perinatal death, but substantially greater risks of postneonatal death among births to First Nations women in Quebec versus women whose mother tongue is French.",1
"In  this large prospective study, higher vitamin D concentration was associated with  lower risk of total cancer.",0
maternal supplementation with MMN combined with PE during pregnancy enhanced antibody responses to the DTP vaccine in early infancy,3
"Humans with a single dog in their bedroom maintained good  sleep efficiency; however, the dog's position on/off the bed made a difference.",1
Menopausal age was not associated with the extent of coronary artery disease.,3
"Higher PTX3 levels are associated with
lower GFR and independently predict incident CKD
in elderly men and women",1
e relation between alcohol consumption in young adulthood and important outcomes at midlife differed between Blacks and Whites,1
"Although asthma is a helper T cell type 2–predominant condition, it may increase the risks of helper T cell type 1–polarized proinflammatory conditions, such as CHD and DM.",2
"Among children with acute respiratory tract infections,
broad-spectrum antibiotics were not associated with better clinical or patient-centered
outcomes compared with narrow-spectrum antibiotics, and were associated with higher
rates of adverse events",1
"Decreasing gestational age was associated with lower height (−1.1 mm per week
of gestation; P < 0.0001), so that women who were born very preterm were on average 12 mm shorter than
women who were born moderately preterm (P < 0.0001) and 17 mm shorter than women born at term (P < 0.0001)",2
"Our results indicate the HUD-VASH program worked as intended and
veterans’ homelessness would have risen substantially over the past decade without the
program",2
"CHD incidence in women increases progressively with BMI, an association consistently seen in different subgroups.",2
"Two series of valves associated with significantly increased hazard of death or reintervention were identified (first series: frailty, 1.18; 95% prediction interval [PI], 1.06-1.32 and second series: frailty, 1.19; 95% PI, 1.09-1.31).",2
"Although local smoking ordinances in Colorado previously suggested a reduction in acute myocardial infarction hospitalizations, no significant impact of smoke-free legislation was demonstrated at the state level, even after accounting for preexisting ordinances.",2
"Live-donor transplantation after desensitization provided a significant survival benefit for patients with HLA sensitization, as compared with waiting for a compatible organ.",3
The increased mortality risk among infants with CHDs living in socioeconomically deprived communities might indicate barriers to quality and timely care at which public health interventions might be targeted.,2
"Anthropometric measures were influenced by household and community variation in the mixed-effects, multi-level regression models.",0
"Because prior studies have shown that older patients with sporadic hypercholesterolemia do not show a higher incidence of mild cognitive impairment, the findings presented suggest that early exposure to elevated cholesterol or LDL receptor dysfunction may be risk factors for mild cognitive impairment.",1
"Our results provide no support for an increased hazard of myeloid leukemia, nasopharyngeal carcinoma, or other upper airway tumors from formaldehyde exposure.",2
"While these results suggest some disease-specific associations between early-life infections and cancer, further studies are required to confirm the specific associations identified.",1
"Gabapentin enacarbil, 1200 mg, maintained improvements in RLS symptoms compared with placebo and showed long-term tolerability in adults with moderate to severe primary RLS for up to 9 months of treatment.",3
"In this population-based study, statin use was associated with a higher prevalence of musculoskeletal pain, particularly in the lower extremities, among individuals without arthritis.",1
Long-term exposure to low to moderate arsenic levels was associated with cardiovascular disease incidence and mortality.,1
There is scant evidence that the low-dose fallout from Chernobyl in Norway increased the risk for serious neurodevelopmental problems.,2
Increasing severity of anaemia was associated with exceptionally high rates of both incident TB and mortality during long-term ART.,2
Rates of diagnosis and treatment of ADHD are higher among children born in August than among children born in September in states with a September 1 cutoff for kindergarten entry.,1
"Risk of HCV infection varies considerably according to dosage of opioid agonist treatment and patient-perceived adequacy, with associations indicating both protective and harmful effects relative to no exposure to opioid agonist treatment.",2
Idarucizumab completely reversed the anticoagulant effect of dabigatran within minutes.,3
Our study did not provide strong evidence of observational or genetic associations between milk intake and all-cause or cause-specific mortality.,0
"The intervention did not significantly improve the primary outcome but did significantly
improve evidence-based practice and some of the relevant secondary clinical outcomes for women.",0
We report high rates of metabolic bone disorders after SOT in chronic transplant patients over a long follow-up.,3
Our findings suggest that cross-border ties may represent a unique source of both resilience and risk for the long-term mental health of immigrant Latinos and their descendants.,2
"Using multi-level modeling and adjusting for child's gender and race/ethnicity, household education, neighborhood socioeconomic status, and year the child was examined, we found that percent of neighborhood residents who spoke the same language as the child's mother was negatively associated with BMI z-scores.",2
"Individuals with high plasma furin concentration have a pronounced dysmetabolic phenotype and elevated risk of diabetes mellitus and
premature mortality.",1
"Patients with NAFLD undergoing screening
colonoscopy reveal significantly more CRC precursor
lesions and early CRC compared with subjects without NAFLD. This elevated risk is independent from
other manifestations of IR.",1
"Overall, women with MS had an increased risk of infections and preterm delivery; however, their risks for other adverse pregnancy outcomes were not elevated.",1
"The presence of persistent bilateral global nephrograms suggests an increased risk of AKI, dialysis, and mortality when compared with patients whose kidneys fully eliminated the contrast material.",2
"The ACA policy change was associated with an increase in breastfeeding
duration by 10% (0.57 months; P = .007) and duration of exclusive breastfeeding by 21%
(0.74 months; P = .001) among the eligible population.",1
"NJ’s decal provision was associated with a sustained decline in intermediate driver
crashes.",1
"State-level voting patterns are independently and significantly associated
with coverage for routinely recommended adolescent vaccines.",0
"In this clinical practice setting, rivaroxaban was associated with lower but statistically non-significant rates of post-thrombotic syndrome, which did not appear to be mediated only by an effect on recurrent venous thromboembolism.",2
"Among older adults initiating combination antihypertensive treatment, FDC therapy was associated with a significantly lower risk of composite clinical outcomes, which may be related to better medication adherence.",2
Our findings show that the high-dose vaccine is safe and robustly immunogenic.,3
"Among people reporting any activity, there was an inverse dose-response relationship between proportion of vigorous activity and mortality",2
This study provides evidence that individuals who smoke fewer than 1 or 1 to 10 CPD over their lifetime have higher mortality risks than never smokers and would benefit from cessation,3
Patients with MI had a higher short- and long-term incidence rate of cancer compared to subjects without MI,1
Our findings suggest that aspects of provision of mental health services can affect suicide rates in clinical populations,1
"In this large Scandinavian cohort, SGLT2 inhibitor use compared with DPP4 inhibitor use was associated with reduced risk of heart failure and any cause death, but not with major cardiovascular events in the primary intention-to-treat analysis",1
"C. trachomatis DNA was frequently detected in the placenta of women with early preterm delivery, and was associated with histopathological signs of placental inflammation.",1
Household exposure remains a major driver of incident TB risk among household contacts of identified TB cases.,1
All DOACs were associated with lower stroke/myocardial infarction/all-cause mortality rates compared with warfarin; differences were observed in rates of stroke/systemic embolism and major bleeding.,2
"Although we cannot define an optimum duration for resuscitation attempts on the basis of these observational data, our findings suggest that efforts to systematically increase the duration of resuscitation could improve survival in this high-risk population.",2
"Among patients in the UK General Practice Research Database, the use of oral bisphosphonates was not significantly associated with incident esophageal or gastric cancer.",1
"Adult smokers with chronic medical diseases try to quit and use evidence-based tobacco cessation treatment more often than smokers without comorbidities, but they are no more likely to quit, suggesting that their quit attempts are less likely to succeed.",0
"Adults with newly diagnosed diabetes appeared to be at higher risk of advanced liver disease, also known as diabetic hepatopathy.",2
Medicare beneficiaries with higher utilization of primary care have lower CRC incidence and mortality and lower overall mortality.,1
"Patients with blood pressure of 130–159/70–89 mmHg had the lowest adjusted mortality, and those in whom both SBP and DBP were concomitantly very high or very low had the highest mortality",1
Consumption of non–cow’s milk beverages was associated with decreased serum 25-hydroxyvitamin D levels in early childhood,0
"Remarriage following divorce is not associated with a reduced risk of depression identified by pharmaceutical treatment, compared with remaining divorced.",0
"Disease incidence was higher among people outside rather than inside the labor market, especially for mental disorders.",0
"Low HDL levels during sepsis are associated with increased risk of sepsis-associated AKI,
and/or subsequent decreased eGFR",0
Veterans have poorer health and health behaviors,1
Increased hospital orthopaedic specialisation is associated with improved patient outcomes after adjusting for both patient characteristics and hospital procedural volume,2
"While area-level crime prevention may be considered a lever for promoting more active lifestyles, these results suggest that the association is not unequivocal.",1
"Our data suggest a complex relationship between MHT use, colorectal tumour risk and screening strategies, which deserves further investigations in other settings.",1
"Over the 13-year period, the rise in opioid use paralleled a 50% increase in the incidence of acute cardiac events among mothers.",2
An elevated ESR is an independent prognostic factor for mortality,1
"No clinically significant variation was found among the 3 PCP types with regard to diabetes outcomes, suggesting that similar chronic illness outcomes may be achieved by physicians,
NPs, and PAs.",2
"In a nationwide viral hepatitis cohort, lipophilic statins
were associated with significantly reduced HCC incidence
and mortality.",0
"For each additional voucher, permanent supportive housing units increased
by 0.9 and the number of homeless veterans decreased by 1.",2
Rare SCN4A variants that directly alter NaV1.4 function occur in infants who had died from SIDS.,1
"The intervention was associated with significantly lower social acceptance of IPV among women
(adjusted risk ratio 0.54, 95% confidence interval (CI) 0.38 to 0.79) and lower acceptance among men (0.13, 95% CI
0.01 to 1.15); significantly greater acceptance that a woman can refuse sex among women (1.28, 95% CI 1.07 to
1.52) and men (1.31, 95% CI 1.00 to 1.70); 52% lower past year experience of physical IPV among women (0.48,
95% CI 0.16 to 1.39); and lower levels of past year experience of sexual IPV (0.76, 95% CI 0.33 to 1.72)",2
Financial incentives did not encourage participants to undertake more PA than self monitoring PA,0
New fibrate use in elderly adults was associated with an increase in serum creatinine level and a small 90-day absolute increase in hospitalizations and nephrologist consultations.,1
"Hip resurfacing only  resulted in similar implant survivorship to other surgical options in men with large  femoral heads, and inferior implant survivorship in other patients, particularly  women.",1
MAR-conceived children face an elevated risk of adverse birth outcomes,3
The MUC5B promoter polymorphism was found to be associated with interstitial lung disease in the general population.,1
"Among inpatients with AMI, the lowest mortality was observed in those  with postadmission serum potassium levels between 3.5 and <4.5 mEq/L compared with  those who had higher or lower potassium levels.",2
"In this community-based cohort, smoking cessation was associated with a  lower risk of CVD events among participants without diabetes, and weight gain that  occurred following smoking cessation did not modify this association.",2
"In children born preterm at 32-36Â weeks' gestation, IRDS was associated  with increased risk of childhood epilepsy.",1
"However, after adjusting for potential confounders, including the presence of comorbid conditions and length of enrollment in Medicaid, women with mental illness were 32% less likely to undergo at least one screening mammography (AOR 0.68, 95% CI= 0.66, 0.70).",2
"Racial/ethnic disparities in  health care receipt are evident among older, but not younger, cancer survivors,  despite access to Medicare.",3
Low health literacy is associated with increased risks of hospitalization and death in patients with HF.,2
"Our results support the assumption of non-inferiority of  ibuprofen compared to ciprofloxacin for treatment of symptomatic uncomplicated UTI,  but need confirmation by further trials.",2
"Gender disparity existed overall in grant and personnel award success rates, especially for
grants directed to selected research communities",0
"Despite the multiple  hypotheses tested, the robustness of family design to population confoundings and  the consistency with previous findings increase the likelihood of true association.",2
The results of this study revealed that  greater leisure-time screen-based sedentary behavior is associated with shorter LTL.,1
Birth before 32 weeks is associated with increased risk of cerebrovascular disease in young adulthood,3
"Epilepsy is an independent determinant for gastrointestinal hemorrhage in a chronological
and severity-dependent pattern.",3
"Among patients who underwent thoracic organ transplants, there was no significant association between operative time of day and survival up to 1 year after organ transplant",0
"Among Medicare beneficiaries with acute MI, the use of PCI was lower  for patients treated in 3 states with public reporting of PCI outcomes compared with  patients treated in 7 regional control states without public reporting. However,  there was no difference in overall acute MI mortality between states with and  without public reporting.",2
Chronic kidney disease was associated with an increased risk of stroke  or systemic thromboembolism and bleeding among patients with atrial fibrillation.,2
"These findings show that food insecurity is associated with increased inflammation, a correlate of chronic diseases.",2
Hormonal  contraception may reduce levels of depressive symptoms among young women.,2
"Feed the Future’s activities were closely linked to
notable improvements in stunting and underweight
levels and moderate improvements in wasting
in children younger than 5 years.",2
"Primary Sjogren’s syndrome is associated with a markedly increased risk of cardiovascular disease and the presence of Ro/SSA and La/
SSB autoantibodies identify the subgroup of
patients carrying the highest risk.",3
"Our longitudinal data show that use of antidepressants is not associated with altered glucose metabolism, suggesting that the association between antidepressant use and diabetes reported by previous studies may not be causal.",2
Receipt of industry-sponsored meals was associated with an increased rate of prescribing the brand-name medication that was being promoted.,2
